Image_Index,TP_positive,FP_positive,TN_positive,FN_positive,FP_negative,TN_negative,Num_Pred_Boxes,Num_GT_Boxes,Positive_Flag,TP,FP,TN,FN,Precision,Recall,F1_Score,FPs,FROC_Score
0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,,,,,,,,,
1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,
2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,
3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,
4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,
5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,
6,0.0,5.0,0.0,2.0,0.0,0.0,5.0,2.0,1.0,,,,,,,,,
7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,
8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,
9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,
10,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,
11,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,
12,0.0,3.0,0.0,2.0,0.0,0.0,3.0,2.0,1.0,,,,,,,,,
13,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,,,,,,,,,
14,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,,,,,,,,,
15,0.0,3.0,0.0,2.0,0.0,0.0,3.0,2.0,1.0,,,,,,,,,
16,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,,,,,,,,,
17,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,
18,0.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,,,,,,,,,
19,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,,,,,,,,,
20,0.0,3.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,,,,,,,,,
21,1.0,5.0,0.0,1.0,0.0,0.0,6.0,2.0,1.0,,,,,,,,,
22,1.0,6.0,0.0,3.0,0.0,0.0,7.0,4.0,1.0,,,,,,,,,
23,2.0,5.0,0.0,2.0,0.0,0.0,7.0,4.0,1.0,,,,,,,,,
24,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,
25,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,,,,,,,,,
